fips,County Name,stabb,lat,lon,sqmiles,state,macode,maname,totpop00,totpop06,chpop,popdens06,pop0_5,pop6_17,pop0_4,pop5_9,pop10_14,pop15_19,pop20_24,pop25_29,pop30_34,pop35_39,pop40_44,pop45_49,pop50_54,pop55_59,pop60_64,pop65_69,pop70_74,pop75_79,pop80_84,pop85up,medage,white,black,natam,asian,pacific,tworace,hispanic,whtnonh,totfam,tothu,owners,renters,vacant,medhhinc,agghhinc,avhhinc,tothh06,hh1per,ihhunder10,ihh10_15k,ihh15_20k,ihh20_25k,ihh25_30k,ihh30_35k,ihh35_40k,ihh40_45k,ihh45_50k,ihh50_60k,ihh60_75k,ihh75_100k,ihh100_125,ihh125_150,ihh150_200,ihh200kpls,inceld65_74,inceld75up,incwhite,incblack,incnatamer,incasian,incpacific,inc2race,pwhite,pblack,phispanic,pnatam,ptworace,asianpac,pasianpac,pop20_34,pop35_49,pop50_64,pop65_up,ppop20_34,ppop35_49,ppop50_64,ppop65_up,ihh0_20,ihh20_40,ihh40_60,pihh0_20,pihh20_40,pihh40_60,pihh60_75,pihh75_100,pihh100_125,pihh125_150,pihh150_200,pihh200_up,Location,statefp,inlabf00,civlab00,emp00,unemp00,pctcivlf00,military00,mfg00,gov00,pmilit00,pgov00,pmfg00,punemp00,pdpres00,pdpres04,prpres00,prpres04,pagri00,pprof00,ptradeser00,mortmonth,pcollroll00,pbornst00,ptransp00,peduc00,pself00,pfampov00,pmobilehh00,phs,pcollege,bigcity2,monied2,boom2,minority2,evangel2,immig2,tractor2,mormon2,service2,empty2,milit2,college2,Counties,bigcity10,monied10,boom10,minority10,evangel10,immig10,tractor10,mormon10,service10,empty10,military10,college10,categories10
1001,AL_ Autauga County,AL,32.500172,-86.501121,596.1,01,5240,Montgomery_ AL,"43,671","49,471",13.2,83.0,"3,928","7,924","3,258","3,340","3,730","3,802","3,566","3,017","2,970","3,278","3,999","3,984","3,378","3,000","2,404","1,900","1,495","1,082",662,606,43.5,"39,863","8,599",263,302,0,444,907,0,"14,059","18,158","13,274","3,147","1,740","44,341","918,824,367","50,272","18,277","3,606","1,797","1,045","1,051","1,181",949,"1,186","1,220","1,084","1,026","1,839","2,357","1,956",777,225,173,207,"28,456","19,533","48,026","25,873","37,850","46,690",0,"50,763",91.28,19.69,2.08,0.60,1.02,302,0.69,"9,553","11,261","8,782","5,745",21.87,25.79,20.11,13.16,"3,893","4,536","3,949",21.30,24.82,21.61,12.90,10.70,4.25,1.23,0.95,1.13,"AL, Autauga County",01,"21,167","20,601","19,595","1,006",4.9,566,"3,229","3,652",2.67,17.25,15.25,4.75,28.91,23.75,70.16,75.66,2.30,6.83,31.23,878,14.26,66.53,4.80,14.49,5.64,8.23,26.13,78.7,18.0,11.99,42.37,37.20,44.60,63.51,15.06,53.80,16.96,51.32,10.70,20.67,28.62,AL_ Autauga County,0,1,0,0,0,0,0,0,0,0,0,0,1
1003,AL_ Baldwin County,AL,30.561135,-87.761130,"1,596.2",01,5160,Mobile_ AL,"140,415","167,677",19.4,105.0,"11,963","23,291","9,973","9,943","10,866","11,174","10,883","9,423","9,503","10,118","12,359","12,941","11,783","11,341","9,419","7,884","6,890","5,711","3,895","3,571",43.5,"148,324","16,464",817,616,34,"1,422","4,044",0,"48,584","89,583","52,404","14,015","23,160","43,268","3,594,704,794","53,631","67,026","15,884","5,755","4,398","3,986","4,587","4,369","4,411","4,405","4,017","3,530","6,559","7,127","6,767","2,687","1,324","1,286","1,268","36,782","24,186","44,622","25,429","40,278","72,769","76,901","47,353",105.63,11.73,2.88,0.58,1.01,650,0.46,"29,809","35,418","32,543","27,951",21.23,25.22,23.18,19.91,"14,139","17,772","14,106",21.09,26.52,21.05,10.63,10.10,4.01,1.98,1.92,1.89,"AL, Baldwin County",01,"65,960","65,751","62,938","2,813",4.3,209,"7,895","8,684",0.32,13.17,11.97,4.26,25.04,22.51,73.11,76.46,1.85,7.43,32.57,936,14.43,58.19,5.21,17.16,8.46,7.60,17.67,82.0,23.1,14.69,48.78,30.69,37.83,64.51,15.53,62.39,15.89,60.18,11.25,14.82,28.30,AL_ Baldwin County,0,0,1,0,0,0,0,0,0,0,0,0,8
1005,AL_ Barbour County,AL,31.848393,-85.307836,884.8,01,#NULL!, ,"29,038","28,056",-3.3,31.7,"2,001","4,069","1,663","1,708","1,903","1,998","2,035","1,859","1,860","1,891","2,134","2,123","1,932","1,764","1,351","1,063",902,756,530,584,43.1,"14,678","13,098",99,95,0,86,940,0,"7,335","12,829","7,737","2,913","2,177","27,660","369,419,705","35,946","10,277","2,770","2,335","1,102",780,842,731,578,505,474,458,717,557,551,211,100,88,85,0,0,"36,529","15,931","37,770","54,193",0,"40,724",50.55,45.11,3.24,0.34,0.30,95,0.33,"5,754","6,148","5,047","3,835",19.82,21.17,17.38,13.21,"4,217","2,656","1,649",41.03,25.84,16.05,5.42,5.36,2.05,0.97,0.86,0.83,"AL, Barbour County",01,"10,826","10,805","10,193",612,5.7,21,"3,198","1,463",0.19,13.51,29.54,5.65,53.89,44.86,45.62,54.78,4.17,3.63,27.12,734,10.79,74.75,6.30,15.06,7.76,21.58,29.59,64.7,10.9,11.52,28.82,32.73,62.64,62.52,17.54,47.41,22.36,42.76,10.87,18.02,30.03,AL_ Barbour County,0,0,0,1,0,0,0,0,0,0,0,0,2
1007,AL_ Bibb County,AL,33.027147,-87.127884,622.9,01,#NULL!, ,"20,826","21,653",3.9,34.7,"1,634","3,203","1,354","1,398","1,497","1,467","1,507","1,470","1,548","1,555","1,687","1,627","1,443","1,329","1,080",833,674,521,334,329,42.9,"16,654","4,845",64,17,2,71,320,0,"5,849","8,622","6,145","1,496",982,"32,201","300,654,826","38,669","7,775","1,708","1,149",726,582,653,481,533,517,507,397,628,656,574,186,38,21,24,0,0,"35,549","17,707","38,132","51,409",0,"30,223",79.97,23.26,1.54,0.31,0.34,19,0.09,"4,525","4,869","3,852","2,691",21.73,23.38,18.50,12.92,"2,457","2,184","1,532",31.60,28.09,19.70,8.44,7.38,2.39,0.49,0.27,0.31,"AL, Bibb County",01,"8,521","8,497","7,967",530,6.2,24,"1,892","1,106",0.28,12.98,22.20,6.22,38.52,27.51,60.74,72.04,5.61,5.30,26.13,719,10.19,87.89,7.63,17.10,4.97,14.95,34.02,63.2,7.1,9.68,32.91,35.22,49.79,67.44,18.15,48.47,22.44,46.48,9.25,14.00,26.82,AL_ Bibb County,0,0,0,1,0,0,0,0,0,0,0,0,2
1009,AL_ Blount County,AL,33.962570,-86.583386,645.2,01,1000,Birmingham_ AL,"51,024","56,118",9.9,86.9,"4,245","8,187","3,531","3,571","3,816","3,785","3,757","3,484","3,653","3,726","4,242","4,202","3,753","3,653","3,037","2,427","2,011","1,548","1,004",918,43.1,"54,500",836,291,89,13,389,"3,701",0,"16,443","21,743","16,491","3,292","1,957","36,627","953,801,994","44,512","21,428","4,436","2,554","1,582","1,475","1,434","1,690","1,724","1,353","1,336","1,084","1,974","2,272","1,631",575,220,140,125,"25,886","17,231","36,048","28,455","31,513","164,583","35,362","49,395",106.81,1.64,7.25,0.57,0.76,102,0.20,"10,894","12,170","10,443","7,908",21.35,23.85,20.47,15.50,"5,611","6,201","4,394",26.19,28.94,20.51,10.60,7.61,2.68,1.03,0.65,0.58,"AL, Blount County",01,"23,896","23,858","22,701","1,157",4.8,38,"4,432","2,988",0.16,12.50,18.55,4.84,27.96,18.32,71.17,80.89,3.07,4.86,28.52,800,13.52,80.94,7.23,17.43,7.53,8.58,28.48,70.4,9.6,10.56,37.91,33.82,33.88,66.66,21.73,50.57,17.49,52.06,8.50,13.56,24.96,AL_ Blount County,0,0,0,0,1,0,0,0,0,0,0,0,3
1011,AL_ Bullock County,AL,32.115871,-85.702462,625.0,01,#NULL!, ,"11,714","10,884",-7.0,17.4,827,"1,631",693,679,772,791,830,768,729,707,804,816,750,639,483,387,319,254,196,267,43.1,"3,018","7,770",47,27,2,20,647,0,"2,589","4,858","3,044","1,056",758,"21,502","110,725,236","29,355","3,772","1,090","1,081",435,291,334,236,227,219,180,94,225,151,160,48,30,0,16,"6,847","37,557","35,071","16,130","38,592","18,973",0,"43,389",25.76,66.33,5.52,0.40,0.17,29,0.25,"2,327","2,327","1,872","1,423",19.87,19.87,15.98,12.15,"1,807","1,016",499,47.91,26.94,13.23,4.00,4.24,1.27,0.80,0.00,0.42,"AL, Bullock County",01,"3,773","3,763","3,441",322,8.6,10,799,734,0.27,19.45,21.18,8.53,69.97,68.07,29.53,31.68,10.46,3.05,29.32,703,9.78,85.67,7.15,17.81,5.38,29.81,32.83,60.5,7.7,11.12,24.78,32.01,79.57,55.57,18.85,52.31,25.01,49.32,10.69,16.25,28.71,AL_ Bullock County,0,0,0,1,0,0,0,0,0,0,0,0,2
1013,AL_ Butler County,AL,31.772114,-86.657268,777.0,01,#NULL!, ,"21,399","20,749",-3.0,26.7,"1,583","3,163","1,319","1,310","1,473","1,606","1,582","1,302","1,177","1,158","1,380","1,509","1,410","1,300","1,034",849,753,625,446,516,43.4,"11,840","8,793",41,52,0,23,186,0,"5,796","10,326","6,668","1,983","1,672","27,079","318,045,656","38,720","8,214","2,259","1,689",840,780,772,526,564,439,488,247,561,423,353,118,55,68,132,0,"13,891","32,274","18,300","38,348","150,945",0,"3,143",55.33,41.09,0.87,0.19,0.11,52,0.24,"4,061","4,047","3,744","3,189",18.98,18.91,17.50,14.90,"3,309","2,301","1,296",40.28,28.01,15.78,5.15,4.30,1.44,0.67,0.83,1.61,"AL, Butler County",01,"8,986","8,958","8,006",952,10.6,28,"1,837","1,181",0.31,13.14,20.44,10.59,46.42,40.54,53.12,59.19,5.22,2.85,32.94,659,12.34,88.51,4.71,15.98,7.24,20.39,26.53,67.8,10.4,12.04,27.54,31.20,62.50,63.22,15.77,52.66,20.93,55.06,10.73,14.98,29.71,AL_ Butler County,0,0,0,1,0,0,0,0,0,0,0,0,2
1015,AL_ Calhoun County,AL,33.721455,-85.824297,607.8,01,450,Anniston_ AL,"112,249","112,100",-0.1,184.2,"8,593","15,603","7,228","6,824","7,177","7,436","8,072","7,539","7,281","7,065","8,085","8,444","7,860","7,331","5,793","4,640","3,985","3,242","2,134","1,964",43.2,"87,352","22,403",497,770,102,976,"2,421",0,"31,746","53,191","34,193","12,806","6,191","33,611","1,955,540,129","42,976","45,503","12,170","6,529","4,034","3,635","3,522","3,273","3,144","2,944","2,717","2,166","3,635","3,740","2,931","1,243",408,497,511,"27,237","21,629","35,769","22,466","30,302","59,936","78,449","37,575",77.82,19.96,2.16,0.44,0.87,872,0.78,"22,892","23,594","20,984","15,965",20.39,21.02,18.69,14.22,"14,198","12,883","8,518",31.20,28.31,18.72,8.22,6.44,2.73,0.90,1.09,1.12,"AL, Calhoun County",01,"51,402","51,230","47,856","3,374",6.6,172,"10,378","8,595",0.33,16.72,20.19,6.56,40.92,33.34,57.84,65.92,0.87,6.12,31.01,732,25.59,74.36,4.75,18.36,6.02,12.40,17.49,73.9,15.2,16.53,30.34,38.13,40.72,70.47,12.85,51.02,15.29,55.03,9.06,14.27,34.27,AL_ Calhoun County,0,0,0,0,1,0,0,0,0,0,0,0,3
1017,AL_ Chambers County,AL,32.862682,-85.267602,597.2,01,#NULL!, ,"36,583","35,189",-3.8,58.9,"2,620","5,107","2,179","2,208","2,375","2,407","2,397","2,191","2,192","2,176","2,451","2,510","2,393","2,261","1,822","1,516","1,310","1,111",800,890,43.1,"21,427","13,538",15,80,0,129,437,0,"9,982","16,516","11,154","3,646","1,718","30,799","531,094,224","37,816","14,044","3,781","2,276","1,297","1,261","1,039","1,048",943,927,"1,003",663,"1,110","1,113",683,197,40,90,122,"41,935","16,885","35,060","22,745","44,945",0,0,"32,068",58.57,37.01,1.19,0.04,0.35,80,0.22,"6,780","7,137","6,476","5,627",18.53,19.51,17.70,15.38,"4,834","3,957","2,776",34.42,28.18,19.77,7.93,4.86,1.40,0.28,0.64,0.87,"AL, Chambers County",01,"16,807","16,789","15,695","1,094",6.5,18,"5,781","1,710",0.11,10.17,34.40,6.51,47.80,41.79,51.39,59.55,1.54,5.31,24.70,634,13.38,77.83,3.73,14.93,5.77,14.34,18.73,64.2,9.5,13.02,26.50,31.91,53.47,62.74,14.63,41.53,18.42,40.18,10.61,15.53,30.30,AL_ Chambers County,0,0,0,1,0,0,0,0,0,0,0,0,2
1019,AL_ Cherokee County,AL,34.182162,-85.628420,552.3,01,#NULL!, ,"23,988","24,530",2.2,44.3,"1,651","3,199","1,371","1,390","1,493","1,483","1,483","1,409","1,500","1,536","1,767","1,815","1,724","1,749","1,515","1,294","1,107",854,549,491,47.6,"22,870","1,366",76,67,0,151,267,0,"7,443","14,575","8,224","1,836","4,514","30,888","385,000,069","38,366","10,035","2,387","1,352","1,049",823,839,790,799,725,584,539,801,706,577,170,72,61,41,"23,408","17,195","31,156","26,658","18,760","46,979",0,"10,041",95.34,5.69,1.11,0.32,0.63,67,0.28,"4,392","5,118","4,988","4,295",18.31,21.34,20.79,17.90,"3,224","3,153","1,924",32.13,31.42,19.17,7.04,5.75,1.69,0.72,0.61,0.41,"AL, Cherokee County",01,"10,607","10,590","10,180",410,3.9,17,"3,648","1,344",0.16,12.67,34.39,3.87,45.25,33.60,53.75,65.51,3.63,2.72,24.33,727,12.25,61.56,5.48,15.10,7.53,11.77,33.38,63.5,9.7,9.88,31.24,28.66,34.51,72.42,19.32,42.18,19.89,43.19,8.65,14.82,28.21,AL_ Cherokee County,0,0,0,0,1,0,0,0,0,0,0,0,3
