"","Item.Name","cor","Item.Description"
"83","83",-0.4691456695786,"Percent of Housing Stock=Mobile Homes 2000"
"115","115",-0.453578550628691,"Republican Presidential Vote 2004"
"76","76",-0.44341483074854,"Percentage with Household Income 20-40K"
"61","61",-0.340006189645512,"Percent Born Inside State of Residence 2000"
"81","81",-0.336474406688847,"Percent in Manufacturing (2000)"
"72","72",-0.328857192854275,"Percentage with Household Income 0-20K"
"114","114",-0.299095516801324,"Republican Presidential Vote 2000"
"68","68",-0.298758398465376,"Percent of Families Living in Poverty 2000"
"118","118",-0.272911503349016,"Percent Employed in Transportation Related 2000"
"53","53",-0.253979044271622,"Mormon Outposts Factor Score"
"49","49",-0.246528968414544,"Military Bastions Factor Score"
"13","13",-0.217709568824524,"Evangelical Epicenters Factor Score"
"36","36",-0.215051701291211,"Immigration Nation Factor Score"
"46","46",-0.207784511476161,"Median Age"
"58","58",-0.18677943733867,"Percent Employed in Agriculture 2000"
"64","64",-0.155497955481096,"% in Civilian Labor Force (2000)"
"84","84",-0.154083440893517,"Percentage of Population Native American"
"82","82",-0.145586136984459,"Percent in Military (2000)"
"117","117",-0.136533777727921,"Percent Employed in Wholesale+Retail Trade+Services 2000"
"120","120",-0.128729252916888,"Percent Unemployed (2000)"
"123","123",-0.128316522593605,"Service and Trade Centers Factor Score"
"78","78",-0.0970251501941142,"Percentage with Household Income 40-60K"
"112","112",-0.0637946521560138,"Percentage Population ages 65 and up"
"111","111",-0.0169301061391526,"Percentage Population ages 50-64"
"121","121",-0.00980453846157665,"Percentage of Population White"
"1","1",0,"Aggregate HH Income"
"2","2",0,"Asian American"
"3","3",0,"Asian and Pacific American"
"4","4",0,"Average HH INcome"
"6","6",0,"Black"
"8","8",0,"Civilian Labor Force (2000)"
"10","10",0,"County Name"
"11","11",0,"Employed (2000)"
"14","14",0,"Government Workers (2000)"
"15","15",0,"HH with 1 Person"
"16","16",0,"Hispanic"
"17","17",0,"Household Income 0-20K"
"18","18",0,"Income $10-15k"
"19","19",0,"Income $100-125k"
"20","20",0,"Income $125-150k"
