"","County","Total.Votes.For","Total.Votes.Against","fips","County.Name","stabb","lat","lon","sqmiles","state","macode","maname","totpop00","totpop06","chpop","popdens06","pop0_5","pop6_17","pop0_4","pop5_9","pop10_14","pop15_19","pop20_24","pop25_29","pop30_34","pop35_39","pop40_44","pop45_49","pop50_54","pop55_59","pop60_64","pop65_69","pop70_74","pop75_79","pop80_84","pop85up","medage","white","black","natam","asian","pacific","tworace","hispanic","whtnonh","totfam","tothu","owners","renters","vacant","medhhinc","agghhinc","avhhinc","tothh06","hh1per","ihhunder10","ihh10_15k","ihh15_20k","ihh20_25k","ihh25_30k","ihh30_35k","ihh35_40k","ihh40_45k","ihh45_50k","ihh50_60k","ihh60_75k","ihh75_100k","ihh100_125","ihh125_150","ihh150_200","ihh200kpls","inceld65_74","inceld75up","incwhite","incblack","incnatamer","incasian","incpacific","inc2race","pwhite","pblack","phispanic","pnatam","ptworace","asianpac","pasianpac","pop20_34","pop35_49","pop50_64","pop65_up","ppop20_34","ppop35_49","ppop50_64","ppop65_up","ihh0_20","ihh20_40","ihh40_60","pihh0_20","pihh20_40","pihh40_60","pihh60_75","pihh75_100","pihh100_125","pihh125_150","pihh150_200","pihh200_up","Location","statefp","inlabf00","civlab00","emp00","unemp00","pctcivlf00","military00","mfg00","gov00","pmilit00","pgov00","pmfg00","punemp00","pdpres00","pdpres04","prpres00","prpres04","pagri00","pprof00","ptradeser00","mortmonth","pcollroll00","pbornst00","ptransp00","peduc00","pself00","pfampov00","pmobilehh00","phs","pcollege","bigcity2","monied2","boom2","minority2","evangel2","immig2","tractor2","mormon2","service2","empty2","milit2","college2","Counties","bigcity10","monied10","boom10","minority10","evangel10","immig10","tractor10","mormon10","service10","empty10","military10","college10","categories10","Registered.Voters","Ballots.Cast","VoterTurnout","PctRegisteredFor","PctRegisteredAgainst"
"1","Alamance",18844,10580,37001,"NC_ Alamance County","NC",36.072066,-79.411818,"430.0",37,"3120","Greensboro--Winston-Salem--High Point_ NC","130,800","141,773",8.3,"329.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.9,NA,NA,729,NA,16,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,861,612,680,NA,NA,NA,NA,NA,NA,NA,NA,84.95,20.53,11.22,0.56,1.05,NA,1.3,NA,NA,NA,NA,22.42,23.39,18.48,15.19,NA,NA,NA,22.4,28.01,21.89,10.73,8.7,3.29,1.53,1.09,1.21,NA,37,NA,NA,NA,NA,5.1,16,NA,NA,0.02,11.62,26.35,5.09,37.33,38.18,62.67,61.47,0.87,6.41,26.74,961,23.22,69.93,3.58,19.36,5.69,7.6,15.31,76.5,19.2,13.97,35.54,38.08,37.32,52.36,18.16,45.81,20.63,49.52,12.29,16.12,29.48,NA,0,1,"0",0,0,0,0,0,0,0,0,0,1,91204,29725,32.591772290689,20.6613745011184,11.6003684048945
"2","Alexander",9513,1550,37003,"NC_ Alexander County","NC",35.89108,-81.190343,"260.1",37,"3290","Hickory-Morganton-Lenoir_ NC","33,603","35,962",7,"138.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,896,624,566,43,NA,NA,34,375,1,204,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,771,961,NA,NA,983,NA,797,870,NA,NA,NA,367,154,81,129,NA,NA,NA,NA,NA,NA,0,NA,99.33,5.86,3.49,0.1,0.61,376,1.12,NA,NA,NA,NA,21.04,23.99,19.97,14.27,NA,NA,NA,20.98,30.32,23.49,11.43,7.47,2.58,1.08,0.57,0.91,NA,37,NA,NA,NA,468,2.5,16,NA,NA,0.09,9.72,41.47,2.5,31.07,29.6,68.93,70.05,2.71,3.51,22.43,857,13.54,77.34,5.5,13.57,7.28,5.92,31.81,68.7,9.3,11.15,34.61,33.69,28.1,65.52,18.4,32.5,21.18,38.05,12.41,16.12,27.7,NA,0,0,"0",0,1,0,0,0,0,0,0,0,3,23788,11134,46.8051118210863,39.9907516394821,6.51589036488986
"3","Alleghany",2519,708,37005,"NC_ Alleghany County","NC",36.495691,-81.106863,"234.6",37,"#NULL!"," ","10,677","10,830",1.4,"46.1",639,NA,532,536,609,615,630,645,668,649,748,772,751,802,683,620,544,426,301,299,47.7,NA,156,30,29,1,15,747,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781,389,396,367,448,304,315,247,227,345,304,257,73,57,22,75,0,NA,NA,NA,NA,NA,0,NA,99.27,1.46,7,0.28,0.14,30,0.28,NA,NA,NA,NA,18.2,20.31,20.94,20.51,NA,NA,819,33.34,30.53,17.44,6.47,5.47,1.55,1.21,0.47,1.6,NA,37,NA,NA,NA,248,4.6,0,NA,675,0,12.52,24.96,4.6,40.39,39.82,59.61,59.73,6.2,4.16,26.88,752,19.32,65.61,4.08,17.92,11.39,11.26,14.82,68,11.7,13.14,29.77,27.26,27.07,60.4,18,49.5,23.13,50.95,8.02,15.01,30.36,NA,0,0,"0",0,0,0,0,0,1,0,0,0,9,7283,3272,44.9265412604696,34.5873953041329,9.72126870795002
"4","Anson",3925,1716,37007,"NC_ Anson County","NC",34.968038,-80.098177,"531.3",37,"#NULL!"," ","25,275","25,746",1.8,"48.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,993,823,715,558,596,42.9,NA,NA,160,209,6,39,307,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,674,844,787,784,643,539,600,501,802,688,507,133,75,34,110,0,NA,NA,NA,NA,NA,0,NA,50.53,49.7,1.21,0.63,0.15,215,0.85,NA,NA,NA,NA,20.06,21.65,17.92,14.58,NA,NA,NA,33.4,28.91,19.98,7.22,5.32,1.4,0.79,0.36,1.15,NA,37,NA,NA,NA,647,6,0,NA,NA,0,15.8,30.01,6.02,60.25,58.68,39.75,41.15,5.69,4.16,27.34,693,17.13,83.56,4.61,18.29,5.91,15.5,24.33,70.2,9.2,12.91,27.52,31.02,58.62,56.66,10.8,44.43,23.36,46.25,11.16,16.49,28.75,NA,0,0,"0",1,0,0,0,0,0,0,0,0,2,17139,5730,33.4325223175214,22.9009860551958,10.0122527568703
"5","Ashe",6254,1851,37009,"NC_ Ashe County","NC",36.41759,-81.488353,"426.3",37,"#NULL!"," ","24,384","25,330",3.8,"59.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,928,700,708,47.7,NA,200,94,59,2,56,772,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,978,854,789,761,721,384,882,774,427,184,50,112,95,NA,NA,NA,NA,NA,NA,0,NA,102.19,0.82,3.17,0.39,0.23,61,0.25,NA,NA,NA,NA,18.42,21.51,21.39,19.78,NA,NA,NA,34.32,30.96,18.19,7.09,3.91,1.68,0.46,1.03,0.87,NA,37,NA,NA,NA,552,4.6,2,NA,NA,0.02,12.66,25.42,4.62,39.18,37.87,60.82,61.68,5.2,4.77,26.54,733,17.25,75.78,3.45,16.15,11.09,10.07,20.61,68.6,12.1,12.65,30.09,26.46,27.24,66.91,16.04,47.57,22.3,50.79,9.03,14.95,30.77,NA,0,0,"0",0,1,0,0,0,0,0,0,0,3,18928,8179,43.2111158072696,33.0409974640744,9.77916314454776
"6","Avery",4264,1007,37011,"NC_ Avery County","NC",36.080733,-81.940974,"247.0",37,"#NULL!"," ","17,167","17,580",2.4,"71.1",NA,NA,843,869,973,NA,NA,NA,NA,NA,NA,NA,NA,NA,951,811,679,571,421,386,42.8,NA,673,76,82,7,67,555,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,995,641,554,573,481,494,464,428,353,500,599,230,135,66,22,66,NA,NA,NA,NA,NA,NA,0,NA,97.13,3.92,3.23,0.44,0.39,89,0.52,NA,NA,NA,NA,21.99,22.83,19.23,16.71,NA,NA,NA,32.57,29.92,19.05,8.91,3.42,2.01,0.98,0.33,0.98,NA,37,NA,NA,NA,542,7,17,NA,NA,0.22,15.64,14.34,6.99,25.38,23.99,74.62,75.47,5.34,5.99,31.85,759,26.66,72.94,3.35,20.87,12.49,10.88,15.59,70.6,14.5,12.92,29.87,32.55,32.18,61.98,15.74,56.29,23.02,59.96,10.18,13.91,30.72,NA,0,0,"0",0,0,0,0,0,1,0,0,0,9,11730,5333,45.464620630861,36.3512361466326,8.5848252344416
"7","Beaufort",8282,3391,37013,"NC_ Beaufort County","NC",35.517746,-76.950314,"827.8",37,"#NULL!"," ","44,958","46,128",2.6,"55.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,996,47.8,NA,NA,120,116,1,173,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,987,893,NA,NA,NA,511,234,141,175,NA,0,NA,NA,NA,NA,0,NA,73.13,28.56,4.28,0.27,0.38,117,0.26,NA,NA,NA,NA,18.54,20,20.52,16.86,NA,NA,NA,32.51,27.76,17.53,7.98,7.28,2.69,1.23,0.74,0.92,NA,37,NA,NA,NA,NA,6.4,13,NA,NA,0.06,15.48,17.41,6.36,38.65,35.99,61.35,63.68,5.77,4.88,28.23,866,16.24,79.03,4.06,22.27,9.18,15.22,27.54,75,16,13.8,30.77,29.3,48.19,57.33,11.89,55.71,23.32,53.26,10.65,15.08,29.55,NA,0,0,"0",1,0,0,0,0,0,0,0,0,2,31752,11766,37.0559334845049,26.0833963214916,10.6796422272613
"8","Bertie",3445,1267,37015,"NC_ Bertie County","NC",36.090226,-76.97887,"699.5",37,"#NULL!"," ","19,773","19,343",-2.1,"27.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,967,817,734,614,434,450,43.4,NA,NA,96,38,1,38,263,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,786,686,698,655,400,435,383,283,542,436,303,142,43,30,92,NA,NA,NA,NA,NA,NA,0,NA,35.55,61.4,1.33,0.49,0.19,39,0.2,NA,NA,NA,NA,17.78,19.54,17.85,15.42,NA,NA,NA,39.95,28.68,15.83,5.71,3.97,1.86,0.56,0.39,1.21,NA,37,NA,NA,NA,573,7.1,16,NA,NA,0.2,16.34,26.39,7.05,65.19,61.48,34.81,38.06,6.57,3.82,29.31,649,9.74,86.43,3.28,22.89,6.04,19.25,31.66,63.8,8.8,13.77,24.69,28.19,68.1,56.92,8.97,48.83,23.49,51.84,10.26,16.47,27.91,NA,0,0,"0",1,0,0,0,0,0,0,0,0,2,14129,4880,34.5388916413051,24.3824757590771,8.96737207162573
"9","Bladen",7412,1489,37017,"NC_ Bladen County","NC",34.606562,-78.642212,"875.0",37,"#NULL!"," ","32,278","33,057",2.4,"37.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,918,639,613,43,NA,NA,772,72,32,118,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,993,NA,994,835,778,695,657,936,941,700,205,105,121,100,0,NA,NA,NA,NA,NA,0,NA,61.76,37.57,5.39,2.39,0.37,104,0.32,NA,NA,NA,NA,19.82,20.52,19.22,14.81,NA,NA,NA,35.6,29.25,17.2,7.07,5.26,1.54,0.79,0.91,0.75,NA,37,NA,NA,NA,774,5.6,24,NA,NA,0.17,18.5,22.66,5.57,54.2,49.61,45.8,50.14,6.92,3.43,26.01,772,19.19,83.24,5.42,20.62,6.57,16.6,30.61,70.6,11.3,11.79,28.04,29.96,54.18,57.31,13.79,49.19,24.02,47.56,9.59,15.46,28.28,NA,0,0,"0",1,0,0,0,0,0,0,0,0,2,22086,9327,42.2303721814724,33.5597210902834,6.7418274019741
"10","Brunswick",16269,8904,37019,"NC_ Brunswick County","NC",34.023969,-78.245417,"854.8",37,"9200","Wilmington_ NC","73,143","93,238",27.4,"109.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6,NA,NA,793,363,79,728,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,586,460,580,NA,NA,NA,NA,NA,NA,NA,NA,109.29,15.5,4.5,1.08,1,442,0.6,NA,NA,NA,NA,21.42,24.55,26.55,25.69,NA,NA,NA,25.5,29.48,20.75,8.99,7.22,2.96,1.5,1.18,1.48,NA,37,NA,NA,NA,NA,4.6,318,NA,NA,0.93,11.97,7.77,4.58,45.96,39.24,54.04,60.37,1.3,7.63,33.8,939,14.13,57.47,6.26,14.77,10.38,9.55,35.89,78.3,16.1,12.95,53.96,19.73,38.71,66.48,15.5,60.77,22.08,72.65,10.42,18.8,27.54,NA,0,0,"1",0,0,0,0,0,0,0,0,0,8,79660,25395,31.8792367562139,20.4230479538037,11.1775043936731
