"","Item.Name","cor","Item.Description"
"128","tractor2",-0.639679748207613,"Tractor Country Factor Score"
"71","phs",-0.61388846644726,"Percent with HS Diploma 2000"
"62","pcollege",-0.574172498244969,"Percent with 4 Year College Degree 2000"
"113","pprof00",-0.554643699537779,"Percent Employed Professional 2000"
"119","ptworace",-0.515383449991935,"Percentage of Population Two Races, Biracial"
"109","ppop20_34",-0.49033925567502,"Percentage Population ages 20-34"
"73","pihh100_125",-0.476230067804268,"Percentage with Household Income 100-125K"
"59","pasianpac",-0.444953201419945,"Percentage of Population Asian/Pacific"
"66","pdpres04",-0.443608136299074,"Democratic Presidential Vote 2004"
"80","pihh75_100",-0.437648705423614,"Percentage with Household Income 75-100K"
"65","pdpres00",-0.435733725658021,"Democratic Presidential Vote 2000"
"75","pihh150_200",-0.432439920627814,"Percentage with Household Income 150-200K"
"74","pihh125_150",-0.422777791899224,"Percentage with Household Income 125-150K"
"63","pcollroll00",-0.41415780557306,"Percent College+Grad School Enrollment 2000"
"67","peduc00",-0.402970330569656,"Percent Employed in Education and Ed Services 2000"
"123","service2",-0.386664808516322,"Service and Trade Centers Factor Score"
"7","boom2",-0.385422367383291,"Booming Diversity Factor Score"
"5","bigcity2",-0.380538854153895,"Big Cities Factor Score"
"12","empty2",-0.373113147876254,"Emptying Nests Factor Score"
"69","pgov00",-0.373009075488209,"Percent Government Employees (2000)"
"77","pihh200_up",-0.365000432419279,"Percentage with Household Income 200K-up"
"52","monied2",-0.355654819927406,"Monied Burbs Factor Score"
"117","ptradeser00",-0.304200024210228,"Percent Employed in Wholesale+Retail Trade+Services 2000"
"60","pblack",-0.301174173762692,"Percentage of Population Black"
"110","ppop35_49",-0.282261597904996,"Percentage Population ages 35-49"
"82","pmilit00",-0.268884795003805,"Percent in Military (2000)"
"49","milit2",-0.267008260881448,"Military Bastions Factor Score"
"57","pacific",-0.263976521718045,"Pacific American"
"79","pihh60_75",-0.23574491137501,"Percentage with Household Income 60-75K"
"51","minority2",-0.216675640600335,"Minority (Black and Native American) Factor Score"
